127.0.0.1 - - [19/Sep/2025:09:41:34 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [19/Sep/2025:09:42:57 +0900] "GET /shop/insert.jsp HTTP/1.1" 200 3456
0:0:0:0:0:0:0:1 - - [19/Sep/2025:09:42:57 +0900] "GET /shop/script.js HTTP/1.1" 200 901
0:0:0:0:0:0:0:1 - - [19/Sep/2025:09:42:57 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [19/Sep/2025:09:42:58 +0900] "GET /shop/insert.jsp HTTP/1.1" 200 3456
0:0:0:0:0:0:0:1 - - [19/Sep/2025:09:42:58 +0900] "GET /shop/script.js HTTP/1.1" 200 901
0:0:0:0:0:0:0:1 - - [19/Sep/2025:09:42:58 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [19/Sep/2025:09:42:58 +0900] "GET /shop/insert.jsp HTTP/1.1" 200 3456
0:0:0:0:0:0:0:1 - - [19/Sep/2025:09:42:58 +0900] "GET /shop/script.js HTTP/1.1" 200 901
0:0:0:0:0:0:0:1 - - [19/Sep/2025:09:42:58 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [19/Sep/2025:09:42:59 +0900] "GET /shop/insert.jsp HTTP/1.1" 200 3456
0:0:0:0:0:0:0:1 - - [19/Sep/2025:09:42:59 +0900] "GET /shop/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2025:09:42:59 +0900] "GET /shop/insert.jsp HTTP/1.1" 200 3456
0:0:0:0:0:0:0:1 - - [19/Sep/2025:09:42:59 +0900] "GET /shop/insert.jsp HTTP/1.1" 200 3456
0:0:0:0:0:0:0:1 - - [19/Sep/2025:09:42:59 +0900] "GET /shop/insert.jsp HTTP/1.1" 200 3456
0:0:0:0:0:0:0:1 - - [19/Sep/2025:09:42:59 +0900] "GET /shop/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2025:09:43:07 +0900] "POST /shop/insert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Sep/2025:09:43:07 +0900] "GET /shop/insert.jsp HTTP/1.1" 200 3456
0:0:0:0:0:0:0:1 - - [19/Sep/2025:09:43:07 +0900] "GET /shop/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2025:09:43:08 +0900] "GET /shop/list HTTP/1.1" 200 2738
0:0:0:0:0:0:0:1 - - [19/Sep/2025:09:43:15 +0900] "GET /shop/index.jsp HTTP/1.1" 200 1759
0:0:0:0:0:0:0:1 - - [19/Sep/2025:09:43:17 +0900] "GET /shop/list HTTP/1.1" 200 2738
0:0:0:0:0:0:0:1 - - [19/Sep/2025:09:43:22 +0900] "GET /shop/insert.jsp HTTP/1.1" 200 3456
0:0:0:0:0:0:0:1 - - [19/Sep/2025:09:43:22 +0900] "GET /shop/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2025:09:43:25 +0900] "GET /shop/index.jsp HTTP/1.1" 200 1759
